smiles,Class
CCCCC/C(=C\C1CCCCC1)C(OC)OC,0
CC(C)=CCS,1
CC(=O)C1CCC(C(C)(C)C)CC1,0
Cc1nccnc1CCCC,1
CC1=CC(=C(C=C1C)O)C(C)(C)C,0
CC1=CC=CC=C1OC,0
CCC1(C(=O)OCC)C(C)(c2ccccc2)O1,1
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1
CCCC(=O)C(CC)CC1=CC=CC=C1,0
CC/C=C\CCOC(=O)C(CC)C,1
CCCCOC(=O)C1=CC=CC=C1O,0
C=CCCC(=O)C(=C)C1CCCCC1,0
C=CCOC1CC2CC1C1C2CC=C1,1
C(CC(=O)OCC)(=O)OCC,0
CC(C)CCCO,0
CCCCC1COC(=O)CO1,1
CCOC(=O)CCSCC1=CC=CO1,1
CCC(/C(=C/C1(CC2CC1C=C2)C)/C)O,0
CC(=C)C(CCC(=O)C)CC(=O)O,0
CCC1=NC(=CS1)C,1
CC1CC(=O)CC2C1(CC(CC2)C(C)C)C,0
CCCCS,1
SC1CCCS1,0
C1=CNC(=C1)C=O,1
C/C=C(/C)\C(=O)O,0
CC1C/C=C\CCCCCCCCC(=O)C1,1
CC(C(=O)C)S,1
C=CC(C)(C)C(C=C(C)C)O,1
CC(C)CCCC(C)CCO,1
CC1=CC(O)C(C(C)C)CC1,0
CC/C=C(/C=O)C1CCCCC1,0
C(CCCC)OCCCCC.C1=CC(=CC=C1O)C,0
C[C@@H](CCC=C(C)C)CCOC(=O)C,0
OC[C@H]1CC[C@H]2C[C@@H]1C2(C)C,1
CCCC1(C=CC(O1)C)C(C)(C)C,0
C(C(=O)OCC)(CC)C(=O)CCC,0
CC1(C(=C(C=CC1)C)C=O)C,0
CCc1nc(C)cnc1CC,1
O=C(O)/C=C(\CC(=O)O)C(=O)O,0
C1=CSC(=C1)CO,1
C1=CC=C(C=C1)CS,1
C(CS(=O)(=O)O)N,0
C(CCCC)OC1=CC=C(C=C1OC)CC=C,0
CC(C)=CCCC(C)CCO,0
C/C=C/C=C1\C(C)=CC(=O)CC1(C)C,0
CCCCCC(CC(=O)OC)OC(C)=O,0
CCN1C=CC=C1C(=O)C,1
COc1nccnc1CC,1
C12CC(C(C=C1)C2)C(=O)OC,0
C1=COC=C1CS,1
CCCCCN1C(C)COC1=O,1
CC1=C(C=CS1)S,1
CC(C1CC=C(CC1)C)=C,0
CCC(CC)S,0
O=C(/C=C/C=C/C1CCC2C(C1)OCO2)N1CCCCC1,0
CC(O)(CC)C,0
CCCCC/C=C/C=C/C(=O)OCCC,0
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,0
CCOC(=O)/C=C(/CCC=C(C)C)\C,1
O=C(O)CCCCCCCC(=O)O,0
CC1CCC2=NC(=CN=C12)C,1
C(CCCCCCCCC)(O)O,0
Cc1ccc(C=O)s1,1
Cc1nccnc1SCc1ccco1,1
C(C(C(C(C(CO)O)O)O)O)O,0
CC1OCC(CO)O1,0
C1(=CC=CC=C1)CCCOC(=O)C,0
CC(CCOC(=O)CCc1ccccc1)C,1
CC1=CN=CC(=N1)C,1
Cc1ccsc1,1
CC1=CC(=CC=C1)O,0
CC1CC(=O)CC(C)(C)C1,0
C1(=CC=CC=C1)CC(=O)OCC2OCCC2,0
COC1CNCCN1,0
C[C@]12CCCC(=C)[C@@H]1C[C@@H](CC2)C(C)(C)O,0
C(COCCOCCO)O,0
CCCC=CC(=O)CC,0
O=C1OCCCC1O,0
C1CCC(O1)COC(=O)C=CC,0
C1=CC=C(C=C1)CC(=O)OC/C=C/C2=CC=CC=C2,0
CCCCC(=O)OCC/C=C/CC,0
CC(C)CC1=NC=CN=C1OC,1
Oc1ccccc1,1
CC1CCCCC1S,0
CC=CC=CCOC(=O)C,1
CC1CC(=O)C(=O)C1C,0
CSSSCc1ccco1,1
CC(CCC=C(C)C)CCOC(=O)C1=CC=CC=C1,0
Cc1cccc(CCO)c1,1
O1C=CC=C1C(=O)OC(C)CC,0
CCSC(=O)C,1
CCCC(=O)C=C,0
CCOC(OCC(OC(OCC)C)C)C,1
CC(C)=CC(=O)O,0
C=CCCCCCCCO,0
COc1c(OC)ccc(c1O)C=O,1
CC(C)CC(=O)OCCCC1=CC=CC=C1,0
CCCCCCCCCCC/C=C/C=O,0
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,0
C1=CC=CC2=C1C(=C[N]2)C(C)C,0
CC(=O)C1(CC(=O)C(O1)(C)SCC2=CC=CO2)C,1
C(CCCCC)C1OCCO1,0
CC1CCOC(C1)C=C(C)C,1
CC1=C(N=C(C(=N1)C)C)C,1
CC(=O)C1CCC(C)CC1C,0
COC(=O)C1CCC(O)C(OC)C1,0
C(CCCCCCC)C(=O)CC,0
CC(CCC1CC=C(C)C1(C)C)C(C)O,1
C1=COC(=C1)CSC=O,1
CC(=O)CC(C)SCc1ccco1,1
C1=CN=CC=C1N,0
N#CCC1CC=C(C1(C)C)C,1
CCCCOCC1CCC(O)C(OC)C1,0
Cc1cnc(C)cn1,1
C(C)C1=CC=C(C=C1)O,0
CCC(=O)SCC1=CC=CO1,1
O=C(CC1CCCCC1)OCC1CCCO1,0
CCC1=NC=C(N=C1C)C,1
CCCCC(=O)OCC1CCC(OC)CC1,0
CC(C)SCC1=CC=CO1,1
[Y],0
C=CC(=O)CCCCCC,1
Cc1cncs1,1
C/C(=C/CC[C@@]1(C2C[C@H]3C1([C@H]3C2)C)C)/COC(=O)C,0
CC1=CC(=O)CC1C,0
C=C1[C@H]2C[C@@H](CC1O)C2(C)C,1
C(C(=O)OC(C)C)CC=CCC,0
CCC=CCCOC(=O)C1CC1,0
C(F)(F)F,0
COC(C1=C(C=CC=C1)OCC)=O,0
CC[C@@H]1CCC(=O)O1,1
CCc1cncc(C)n1,1
Cc1cc(C)c(C)c(c1)O,1
CC(N=C2)=CN=C2SCC1=CC=CO1,1
CC1=CC=C(O1)CS,1
CC1=CSC(=N1)C,1
C(C)(CCC=C(C)C)(C)C(=O)OCC,0
CC1(C3C2(CC1C(CC2)=C)C(CC3)C)C,0
CC1=CCC(CC1)C(C)(C)S,1
CC=CCOC(=O)C(C)CCC,0
C1=CSC(=C1)S,1
CCCC(C)(C)OC(=O)C(O)CC(=O)O,0
OC1CCCCCCCCCCC1,0
O1C=CC=C1C(=O)OCCCCCC,0
CCC1=NC=CN=C1,1
C1(=CC=C(C=C1)C(C)C)CC(C2OCCO2)C,0
CCCC[C@@H]1[C@@H](C)CC(=O)O1,1
CC1=NC=CN=C1C(C)C,1
CC1OCC(O1)C2=CC=CC=C2,0
CC(=CCC[C@H](C)[C@@H]1C=CC(=CC1)C)C,1
CC1=CCC(CC1)C(OC(=O)c1ccccc1N)(C)C,1
CCCCOC1=CC=C(C=C1)C,0
CO[C@@H]1O[C@@H]([C@@H]2[C@H]1OC(O2)(C)C)C,1
CC(C)(C)C(=O)OCCc1ccccc1,1
CC(C)CC1OCC(C)O1,0
COC(=S)CCc1ccco1,1
CC12OC1CC/C=C\CC/C=C\CC2(C)C,1
CCC(=O)OCC,0
O=C(C(C)C)Oc1ccccc1C,1
CC(C)[C@]1(CC=C(C)CC1)O,1
CC1C(=C(C(=O)O1)O)C,1
CCOC(O)=[SH]Cc1ccco1,1
CC(=O)C=CC12OC2(C)CCCC1(C)C,1
CC1=CSC(=N1)C(C)C,1
CC/C=C\CCOC(OCC/C=C\CC)C,0
FS(F)(F)(F)(F)F,0
CC1=CCCC(C)(C)C1C=CC(C)OC(=O)C,1
[C@H]23C1C(C1CC[C@@](O)([C@H]2CC[C@@H]3C)C)(C)C,0
COC1=CC(=CC(=C1O)OC)CC=C,0
COc1cc(CO)ccc1OC,1
c1ccsc1,1
CCCCCCC(=O)OC/C=C(\C)/CCC=C(C)C,0
CC(=Nc1ccccc1)O,1
CC/C=C\CCC=O,0
CCCSSc1ccoc1C,1
c1ccc(cc1)C=CBr,1
CC(=O)O[C@@H]1C[C@H]2C([C@@]1(C)CC2)(C)C,1
CC[C@H](C)C=O,1
CC(=O)C1=CC=CO1,1
CCCCCCCCC#CC(=O)OCC,0
Cc1c(c(=O)cco1)OC(=O)C,1
C(C1=CC=CC=C1)OCC2=CC=CC=C2.C3=CC(=CC=C3O)C,0
CCSC,1
CCCCCCCCCCCCCCCCCCCCCC,0
CCCCC/C(=C/C1CCCCC1)COC=O,0
CCOC(=O)CC/C=C\CC=C,1
CCSC(C)SCC,1
C/C=C\C(=O)OCCCCCCCC,0
CC1=CC(C)C(C)C(C1)C=O.CC1=CC(C)C(C=O)C(C)C1,1
C1CCC(CC1)SSC2CCCCC2,1
C1CC2C(C1)C\3CC2C/C3=C\CCC=O,0
CC(COC(=O)C(=C)C)C,1
C1=CSC(=C1)CS,1
CC(=C)C1CCC(=CC1)C=O,0
C=CCOC(=O)c1ccco1,1
CC1=CC(=O)C(C)O1,1
CC(=C1CC[C@]([C@H](C1)C(=C)C)(C)C=C)C,0
Cc1cccc(C)n1,1
SCC1=CSC=C1,1
CC1COC2C1CC[C@@H](C)C2,0
CCCCCCCOC(=O)CC(C)C,0
CCC1=CN=C(S1)C,0
CC1=C(C=CO1)SC,1
CN1CCC[C@H]1C2=CN=CC=C2,0
